product_name,review,price,discount_price,date
Maquina Electrica Industrial Comercial Mini Hotcakes 25pz,4.8,"2,568","1,335",2024/02/04
Hidrolavadora Inalámbrica Electrica Pistola Lavado  Portatil,None,856,410,2024/02/04
Bocina JBL Charge 5 JBLCHARGE5 portátil con bluetooth waterproof red 110V/220V ,None,"2,999","2,149",2024/02/04
"Tablet con Funda Teclado Mouse WOZIFAN W10 10.1"" Android 128GB y 16GB de memoria RAM, Umcp(DDR4X & ROM 2 En 1) Procesador Ultra Suave Mtk8183  8-core 2.0Ghz, Dual WiFi BT5.0 GPS-Gris",None,"2,687","2,096",2024/02/04
Soldadora Inversor Bivoltaje Maraga De 160 Amp Mw-arc160 Color Rojo Frecuencia 50 Hz/60 Hz,None,"4,999","2,849",2024/02/04
Xiaomi Pocophone Poco X6 5G Dual SIM 256 GB negro 8 GB RAM,None,"9,399","4,799",2024/02/04
Laptop Asus Vivobook Go 15 Oled (e1504g) Windows 11 Home,4.2,"9,499","7,499",2024/02/04
"Tablet  Lenovo Tab P11 2nd Gen TB350FU 11.5"" 128GB storm gray y 4GB de memoria RAM",None,"8,499","4,499",2024/02/04
Amazon Echo Pop con asistente virtual Alexa color charcoal 110V,None,580,514,2024/02/04
"Tablet  Lenovo Tab P11 2nd Gen TB350FU 11.5"" 128GB storm gray y 4GB de memoria RAM",None,"8,499","4,499",2024/02/04
Amazon Echo Pop con asistente virtual Alexa color charcoal 110V,None,580,514,2024/02/04
Guantes De Nitrilo Vinil Libre De Latex Sin Polvo Azul Negro,None,298,113,2024/02/04
Xiaomi Pocophone Poco X6 Pro 5G Dual SIM 256 GB gris 8 GB RAM,None,"7,236","7,236",2024/02/04
4 Foco Led Inteligente Rgbcw Wifi 9w Ajustable Multicolor,None,821,353,2024/02/04
Mesa Plegable Para Jardín Y Exteriores Tipo Portafolio 1.80m,None,"1,000",825,2024/02/04
Smartwatch Redmi Watch 3 Negro,None,"1,829","1,299",2024/02/04
Alfombra Decorativa Sala De Estar Y Dormitorio 200 * 160 Cm,4.8,"1,181",378,2024/02/04
